,date_applied,location,industry,platform,company_id,position_id,current_status_id,furthest_status_id
96,2023-10-21,"Carlsbad, CA",Scientific,Company Website,92,1,1,
97,2023-10-21,"Plano, TX",Cars,,93,1,1,
98,2023-10-22,"Schaumberg, IL",Food & Beverage,Workday,94,2,0,0
99,2023-10-22,"Newark, NJ",Finance,Workday,95,2,3,3
100,2023-10-22,"Washington, DC",Transportation,,72,1,1,
101,2023-10-25,"San Fransisco, CA",Crypto,,96,2,1,
102,2023-10-27,TBD,Gov,,97,2,1,
103,2023-10-27,IL,Medical,Company Website,98,2,1,
104,2023-10-27,Remote,Finance,Workday,99,9,1,
105,2023-10-27,Remote,Insurance,Company Website,100,2,0,0
106,2023-10-29,"Santa Clara, CA",Tech,Company Website,101,2,1,
107,2023-10-29,"Dallas, TX",Banking,Company Website,102,2,1,
108,2023-10-30,"Newark, NJ",Electronics,Company Website,103,2,1,
109,2023-11-01,"San Fransisco, CA",Software,Company Website,104,2,1,
110,2023-11-01,"Seattle, WA",Software,Company Website,105,0,1,
111,2023-11-01,"Santa Rosa, CA",Electronics,Company Website,106,2,1,
112,2023-11-01,"Pittsburg, PA",Tech,Company Website,107,2,1,
113,2023-11-01,"Chicago, IL",Tech,Company Website,107,2,1,
114,2023-11-01,Remote,consulting,Handshake quick apply,108,2,1,
115,2023-11-01,"Spring, Texas",Tech,,109,2,1,
116,2023-11-02,"Irvine, CA",Gaming,Company Website,110,2,1,
117,2023-11-02,"Santa Monica, CA",Gaming,Company Website,111,10,1,
118,2023-11-02,"Columbus, OH",Retail,,112,2,1,
119,2023-11-03,"Seattle, WA",Wholesale,Company Website,113,2,1,
120,2023-11-03,"New York, New York",Software,Company Website,105,2,1,
121,2023-11-03,"Raritan, NJ",Pharmaceutical,Company Website,114,2,1,
122,2023-11-03,Remote,IT,Greenhouse,115,2,1,
123,2023-11-04,"Overland Park, Kansas",Networks,Workday,116,2,1,
124,2023-11-10,"Overland Park, Kansas",Networks,Workday,116,2,1,
125,2023-11-10,"Overland Park, Kansas",Networks,Workday,116,2,1,
126,2023-11-10,"Irvine, CA",Medical,Company Website,117,2,1,
127,2023-11-10,Remote,Insurance,Company Website,100,2,1,
128,2023-11-10,"Detroit, MI",Mortgage,Workday,118,2,1,
129,2023-11-11,"Ewing, NJ",Insurance,Glassdoor,119,2,1,
130,2023-11-11,"Chicago, IL",Software,Glassdoor,120,2,1,
131,2023-11-11,"Glendale, AZ",Insurance,workday,121,1,1,
132,2023-11-12,TBD,Social Media,Company website,122,1,1,
133,2023-11-12,TBD,Social Media,Company website,122,3,1,
